truth\pred,ᜀ,ᜁ,ᜂ,ᜃ,ᜄ,ᜅ,ᜆ,ᜇ,ᜈ,ᜉ,ᜊ,ᜋ,ᜌ,ᜎ,ᜏ,ᜐ,ᜑ,ᜒ,ᜓ,᜔,<DEL>
ᜀ,99.84%,0.00%,0.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ᜁ,0.00%,99.71%,0.00%,0.07%,0.07%,0.00%,0.07%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.07%,0.00%,0.00%,0.00%
ᜂ,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ᜃ,0.00%,0.02%,0.00%,99.80%,0.04%,0.00%,0.00%,0.04%,0.04%,0.00%,0.02%,0.00%,0.00%,0.02%,0.00%,0.00%,0.02%,0.00%,0.00%,0.00%,0.00%
ᜄ,0.00%,0.00%,0.00%,0.00%,99.92%,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,0.00%,0.00%,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%
ᜅ,0.00%,0.00%,0.00%,0.14%,0.00%,97.59%,0.00%,0.00%,2.18%,0.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%
ᜆ,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,99.89%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ᜇ,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,0.06%,99.74%,0.00%,0.02%,0.06%,0.04%,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,0.02%,0.02%
ᜈ,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,0.00%,0.00%,99.91%,0.00%,0.00%,0.00%,0.00%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ᜉ,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.00%,0.02%,99.71%,0.00%,0.00%,0.06%,0.02%,0.00%,0.02%,0.10%,0.00%,0.00%,0.00%,0.00%
ᜊ,0.00%,0.00%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.11%,0.00%,99.78%,0.00%,0.00%,0.00%,0.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ᜋ,0.04%,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,99.92%,0.00%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ᜌ,0.04%,0.00%,0.00%,0.00%,0.00%,0.08%,0.08%,0.00%,0.00%,0.21%,0.00%,0.04%,99.34%,0.00%,0.04%,0.08%,0.04%,0.00%,0.00%,0.00%,0.04%
ᜎ,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.04%,0.04%,0.00%,0.00%,0.00%,99.86%,0.00%,0.04%,0.00%,0.00%,0.00%,0.02%,0.00%
ᜏ,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.23%,0.08%,0.00%,0.00%,99.61%,0.00%,0.00%,0.00%,0.00%,0.00%,0.08%
ᜐ,0.00%,0.00%,0.00%,0.00%,0.04%,0.00%,0.00%,0.00%,0.04%,0.02%,0.02%,0.00%,0.00%,0.00%,0.00%,99.86%,0.00%,0.00%,0.00%,0.00%,0.02%
ᜑ,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.04%,0.04%,0.00%,0.04%,0.00%,0.00%,0.00%,0.00%,0.04%,0.04%,99.69%,0.04%,0.00%,0.00%,0.00%
ᜒ,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,99.72%,0.04%,0.00%,0.22%
ᜓ,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.10%,98.96%,0.64%,0.26%
᜔,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.34%,99.56%,0.09%
<INS>,3.54%,0.00%,0.00%,0.88%,4.42%,2.65%,1.77%,4.42%,9.73%,0.88%,3.54%,0.00%,2.65%,0.88%,2.65%,5.31%,4.42%,20.35%,20.35%,11.50%,100%
